UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,CLPG1,CLPG2,CLPG3,YRREC
03IN00001,1996006062, 6062,00, 6062,96,2,00,1,00,,000044,018805,.,,,,3,"B,A",5,,160,0,0,,93,0602,.,,U,7.0,,U,,983,0,0,0,2003
03IN00002,1996006236, 6236,00, 6236,96,2,00,1,00,,000044,505700,.,,,,U,"B,A",*,,0,0,0,,95,0116,.,,U,7.0,SW.BAG,U,,,0,0,0,2003
03IN00003,1997007485, 7485,00, 7485,97,2,00,1,00,,000044,033005,.,,,,3,.,5,,182,204,2,,93,1022,.,,U,6.0,MLTS,U,,4354,0,0,0,2003
03IN00004,1998008019, 8019,00, 8019,98,2,18,1,07,L-1,000010,778810,.,,,,1,G1B,4,,144,190,1,,,,., 1,2,5.0,L.EYE TRT '02,,,,0,0,0,2003
03IN00005,1998008027, 8027,00, 8027,98,2,18,1,07,L-1,000010,732600,.,,,,B,G1B,5,,159,177,2,,93,0911,.,,.,5.0,,,,,0,0,0,2003
03IN00006,1998008040, 8040,00, 8040,98,2,18,1,07,L-1,000010,741200,.,,,,O,OVX,5,,196,194,1,X,,,.,O,O,5.0,"OVX,BARREN",,1,,0,0,0,2003
03IN00007,1998008050, 8050,00, 8050,98,2,00,1,03,L-0,000044,978963,.,,,,B,"B,A",5,,201,213,1,,93,0911,.,,U,5.0,T X C ewe,U,,,0,0,0,2003
03IN00008,1998008059, 8059,00, 8059,98,2,18,1,07,L-1,000010,831510,.,,,,O,OVX,5,,183,0,0,X,,,.,O,O,5.0,POLYPAY?OVX,,,,0,0,0,2003
03IN00009,1998008084, 8084,00, 8084,98,2,18,1,07,L-1,000010,741400,.,,,,1,G1B,4,,131,142,2,,,,., 2,2,5.0,BLK. EAR,,,,0,0,0,2003
03IN00010,1998008091, 8091,00, 8091,98,2,18,1,07,L-1,000010,728300,.,,,,1,G1A,5,,141,165,1,,,,., 3,2,5.0,,,,,0,0,0,2003
03IN03445,2002818558,Z8558,81,Z8558,02,3,00,2,30,,000004,224804,.,,,,3,VL,*,,0,0,0,,93,0708,X,,.,0.5,,,,,0,0,0,2003
03IN03446,2002818559,Z8559,81,Z8559,02,3,00,2,30,,000004,290504,.,,,,3,DF,*,,0,0,0,,93,0708,X,,.,0.5,,,,,0,0,0,2003
03IN03447,2002818560,Z8560,81,Z8560,02,3,00,2,30,,000004,290504,.,,,,3,BW,*,,0,0,0,,93,0708,X,,.,0.5,,,,,0,0,0,2003
03IN03448,2002818561,Z8561,81,Z8561,02,2,00,2,85,,000004,432081,.,,,,1,,H,,120,124,1,X,10,0928,X,X,X,0.5,TAY.,,,,0,0,0,2003
03IN03449,2002818563,Z8563,81,Z8563,02,2,00,2,30,,000004,261004,.,,,,1,,H,,130,139,1,X,10,1111,X,X,X,0.5,TAY.,,,,0,0,0,2003
03IN03450,2002818564,Z8564,81,Z8564,02,3,00,2,85,,000004,592381,.,,,,3,DF,*,,0,0,0,,93,0708,X,,.,0.5,,,,,0,0,0,2003
03IN03451,2002818565,Z8565,81,Z8565,02,3,00,2,85,,000004,592381,.,,,,3,JB,*,,0,0,0,,93,0708,X,,.,0.5,,,,,0,0,0,2003
03IN03452,2002818566,Z8566,81,Z8566,02,2,00,2,30,,000004,191804,.,,,,1,X,H,,120,127,1,X,93,1117,X,X,X,0.5,TAY.,,,1126,0,0,0,2003
03IN03453,2001448613,T8613,44,T8613,01,1,42,1,02,882,736144,746544,.,,,,4,.,*,,0,0,0,X,93,0113,C,,.,2.0,"F2, MSG 10/31",Ctrl,,848,0,0,0,2003
03IN03454,2001641723,K1723,64,K1723,01,1,CP,1,05,54,973863,093264,.,,CC,,3,.,M,,218,0,0,,93,0602,H,,.,2.0,MSG 12/12/02,Clpg,,1040,1,1,2,2003
